x:-290.40,y:-396.00,z:28.20,t:293893
x:350.60,y:170.60,z:-287.20,t:293897
x:-25.40,y:277.60,z:388.20,t:293900
x:-402.20,y:-659.00,z:163.80,t:293904
x:594.00,y:483.20,z:-664.80,t:293908
x:-84.40,y:104.40,z:565.40,t:293912
x:-392.80,y:-598.40,z:-199.00,t:293916
x:-536.60,y:-429.20,z:-42.80,t:293920
x:465.20,y:547.00,z:-385.20,t:293924
x:-337.00,y:-278.60,z:968.80,t:293928
x:-12.20,y:-339.40,z:-841.60,t:293933
x:376.80,y:334.20,z:392.40,t:293937
x:-576.60,y:-414.80,z:155.80,t:293941
x:444.00,y:517.80,z:-1178.20,t:293945
x:-165.20,y:224.80,z:640.40,t:293949
x:-233.00,y:-388.20,z:-193.00,t:293953
x:425.60,y:621.60,z:-169.00,t:293957
x:-408.20,y:94.00,z:502.60,t:293960
x:225.40,y:-45.00,z:-445.40,t:293964
x:184.20,y:281.80,z:159.80,t:293968
x:-489.60,y:-713.60,z:295.00,t:293972
x:506.00,y:100.80,z:-634.80,t:293977
x:-476.60,y:226.60,z:406.60,t:293981
x:159.40,y:-467.40,z:-72.80,t:293985
x:622.00,y:1077.00,z:-203.40,t:293989
x:-732.40,y:-620.80,z:302.20,t:293993
x:712.00,y:53.20,z:-161.20,t:293997
x:-310.40,y:562.20,z:32.20,t:294001
x:-385.80,y:-821.20,z:87.40,t:294005
x:512.80,y:555.80,z:-309.80,t:294008
x:-407.00,y:-314.40,z:317.40,t:294012
x:246.60,y:-181.60,z:-302.80,t:294017
x:12.60,y:532.60,z:226.80,t:294021
x:-399.40,y:-709.20,z:106.20,t:294025
x:483.00,y:215.00,z:-298.60,t:294029
x:-139.00,y:278.40,z:412.60,t:294033
x:-127.00,y:-347.60,z:-234.80,t:294037
x:524.60,y:694.60,z:-393.00,t:294041
x:-529.60,y:-180.20,z:110.20,t:294045
x:-255.80,y:-169.80,z:243.40,t:294049
x:155.00,y:-260.80,z:-288.40,t:294053
x:245.40,y:594.60,z:-78.80,t:294057
x:-583.80,y:-357.60,z:440.60,t:294062
x:288.20,y:-20.80,z:-523.80,t:294065
