x:-483.20,y:311.00,z:44.80,t:36059
x:-475.00,y:499.40,z:218.20,t:36063
x:-530.20,y:943.20,z:255.20,t:36067
x:-273.80,y:965.20,z:-104.20,t:36071
x:448.00,y:389.40,z:24.20,t:36075
x:770.80,y:-638.60,z:659.00,t:36079
x:735.80,y:-821.40,z:678.00,t:36083
x:254.60,y:-451.80,z:487.00,t:36087
x:-297.60,y:94.80,z:-79.60,t:36090
x:-526.40,y:452.00,z:-405.40,t:36094
x:-451.80,y:657.80,z:-738.60,t:36099
x:-214.60,y:429.60,z:-522.20,t:36103
x:-67.00,y:54.60,z:-144.80,t:36107
x:91.40,y:-55.40,z:152.20,t:36111
x:269.80,y:-157.00,z:280.00,t:36114
x:-32.80,y:-133.00,z:415.20,t:36118
x:-219.80,y:57.80,z:352.00,t:36122
x:-186.40,y:100.20,z:230.40,t:36126
x:-48.40,y:-102.20,z:5.00,t:36130
x:-363.80,y:661.40,z:482.80,t:36134
x:-68.40,y:507.40,z:194.80,t:36137
x:335.00,y:219.40,z:-35.20,t:36142
x:710.80,y:-338.80,z:130.80,t:36146
x:636.20,y:-832.80,z:438.60,t:36150
x:-12.20,y:-1000.20,z:418.20,t:36154
x:-496.60,y:-292.40,z:-76.80,t:36158
x:-754.00,y:582.00,z:-542.00,t:36162
x:-633.40,y:957.80,z:-651.20,t:36166
x:-102.80,y:915.20,z:-835.80,t:36169
x:406.20,y:231.60,z:-164.20,t:36173
x:194.60,y:-341.40,z:292.20,t:36177
x:304.20,y:-373.80,z:515.60,t:36182
x:211.80,y:-194.80,z:466.40,t:36186
x:26.40,y:-69.60,z:414.20,t:36190
x:-23.00,y:-8.40,z:372.20,t:36194
x:88.40,y:-115.80,z:75.00,t:36197
x:408.20,y:-410.80,z:-66.00,t:36201
x:534.60,y:-647.20,z:-26.80,t:36205
x:411.20,y:-609.80,z:-175.20,t:36209
x:1.20,y:-418.20,z:-242.80,t:36213
x:572.20,y:-941.00,z:319.60,t:36217
x:68.40,y:-948.80,z:219.00,t:36220
x:-465.20,y:-303.80,z:0.40,t:36225
x:-849.20,y:329.20,z:-636.60,t:36229
x:-514.40,y:597.20,z:-842.00,t:36233
x:-197.80,y:395.00,z:-497.00,t:36237
x:206.60,y:-107.80,z:-202.60,t:36241
x:253.60,y:-237.80,z:423.80,t:36245
x:202.40,y:-147.60,z:530.80,t:36249
x:229.80,y:-147.00,z:395.20,t:36253
x:198.00,y:-53.00,z:259.20,t:36256
x:-213.20,y:-15.80,z:184.40,t:36260
x:-94.40,y:44.80,z:-192.40,t:36264
x:257.80,y:-129.60,z:-396.60,t:36269
x:503.40,y:-243.00,z:-541.00,t:36273
x:239.20,y:-269.60,z:-462.80,t:36277
x:-228.20,y:-88.60,z:-404.60,t:36281
x:-562.80,y:211.20,z:-180.00,t:36284
x:-661.80,y:487.00,z:141.20,t:36288
x:-509.20,y:866.40,z:21.60,t:36292
