x:414.20,y:-299.40,z:218.80,t:81620
x:904.80,y:116.40,z:279.00,t:81625
x:665.80,y:677.40,z:50.60,t:81629
x:60.20,y:919.40,z:-412.00,t:81633
x:-244.60,y:1171.60,z:-925.20,t:81637
x:-306.40,y:1443.00,z:-1340.60,t:81641
x:-459.80,y:1199.60,z:-964.60,t:81645
x:-425.60,y:276.20,z:100.40,t:81649
x:-372.60,y:-442.80,z:933.60,t:81653
x:177.40,y:-965.20,z:1154.00,t:81656
x:563.00,y:-1117.80,z:969.60,t:81660
x:345.20,y:-1080.00,z:825.40,t:81665
x:43.40,y:-883.00,z:422.00,t:81669
x:107.80,y:22.80,z:-250.60,t:81673
x:488.20,y:1507.80,z:-855.20,t:81677
x:634.80,y:1936.80,z:-1108.20,t:81681
x:386.20,y:1107.80,z:-538.80,t:81685
x:454.60,y:1456.40,z:-785.80,t:81689
x:441.00,y:1167.80,z:-454.20,t:81693
x:468.80,y:681.00,z:224.60,t:81697
x:396.20,y:445.80,z:203.80,t:81701
