x:-75.00,y:74.00,z:-100.00,t:6128
x:85.00,y:-202.00,z:-17.00,t:6133
x:-3.00,y:68.00,z:-12.00,t:6137
x:-38.00,y:89.00,z:8.00,t:6142
x:3.00,y:-91.00,z:54.00,t:6147
x:-53.00,y:-175.00,z:14.00,t:6152
x:-60.00,y:-15.00,z:-88.00,t:6156
x:63.00,y:36.00,z:-4.00,t:6161
x:68.00,y:-119.00,z:123.00,t:6165
x:26.00,y:29.00,z:-24.00,t:6170
x:43.00,y:11.00,z:-65.00,t:6174
x:45.00,y:-70.00,z:77.00,t:6179
x:-59.00,y:15.00,z:-22.00,t:6183
x:-27.00,y:-14.00,z:-139.00,t:6189
x:89.00,y:37.00,z:-75.00,t:6193
x:110.00,y:7.00,z:-6.00,t:6198
x:44.00,y:-44.00,z:57.00,t:6202
x:13.00,y:128.00,z:-42.00,t:6207
x:-93.00,y:106.00,z:-44.00,t:6211
x:30.00,y:-35.00,z:4.00,t:6216
x:40.00,y:45.00,z:5.00,t:6220
x:-7.00,y:8.00,z:42.00,t:6225
x:0.00,y:28.00,z:36.00,t:6230
x:10.00,y:-67.00,z:-1.00,t:6234
x:-50.00,y:71.00,z:-60.00,t:6239
x:-58.00,y:97.00,z:-12.00,t:6243
x:27.00,y:-111.00,z:68.00,t:6248
x:41.00,y:13.00,z:-45.00,t:6252
x:32.00,y:46.00,z:-22.00,t:6257
x:14.00,y:-52.00,z:63.00,t:6261
x:-32.00,y:-58.00,z:-17.00,t:6266
x:-35.00,y:39.00,z:-80.00,t:6270
x:16.00,y:-34.00,z:-19.00,t:6276
x:40.00,y:-93.00,z:23.00,t:6280
x:-26.00,y:8.00,z:69.00,t:6285
x:51.00,y:94.00,z:35.00,t:6289
x:13.00,y:40.00,z:-64.00,t:6294
x:6.00,y:-171.00,z:45.00,t:6298
x:-30.00,y:140.00,z:-32.00,t:6303
x:-14.00,y:43.00,z:-76.00,t:6307
x:-41.00,y:38.00,z:30.00,t:6312
x:43.00,y:-41.00,z:50.00,t:6317
x:31.00,y:-61.00,z:49.00,t:6322
x:-21.00,y:68.00,z:81.00,t:6326
x:3.00,y:-122.00,z:-60.00,t:6331
x:-4.00,y:10.00,z:-106.00,t:6335
x:-42.00,y:116.00,z:26.00,t:6340
x:15.00,y:-6.00,z:-23.00,t:6344
x:82.00,y:36.00,z:-120.00,t:6349
x:-16.00,y:142.00,z:-65.00,t:6353
x:91.00,y:59.00,z:50.00,t:6359
x:16.00,y:69.00,z:9.00,t:6363
x:-49.00,y:131.00,z:-82.00,t:6368
