x:-79.80,y:-100.60,z:17.00,t:104494
x:34.00,y:91.00,z:-49.40,t:104498
x:64.40,y:8.40,z:12.60,t:104501
x:-63.60,y:-28.80,z:5.00,t:104505
x:-62.20,y:-106.60,z:21.40,t:104509
x:56.60,y:121.20,z:-15.20,t:104513
x:64.40,y:43.00,z:-11.00,t:104516
x:-56.80,y:-39.60,z:-4.80,t:104520
x:-47.00,y:-143.20,z:31.80,t:104524
x:52.40,y:81.00,z:10.00,t:104528
x:26.40,y:41.80,z:-9.80,t:104531
x:-77.20,y:-149.60,z:9.20,t:104536
x:-53.20,y:-163.40,z:50.80,t:104540
x:36.00,y:115.60,z:4.20,t:104544
x:16.20,y:94.80,z:-18.00,t:104547
x:-59.40,y:-152.00,z:14.00,t:104551
x:-19.00,y:-161.40,z:49.80,t:104555
x:71.00,y:96.00,z:22.40,t:104559
x:15.20,y:93.20,z:-18.20,t:104562
x:-58.80,y:-104.60,z:11.20,t:104566
x:-52.00,y:-87.40,z:-16.00,t:104570
x:51.00,y:63.80,z:-27.00,t:104574
x:18.60,y:91.20,z:-26.60,t:104578
x:-84.40,y:-89.00,z:-5.80,t:104582
x:-27.80,y:-102.20,z:43.40,t:104586
x:87.40,y:74.20,z:14.40,t:104590
x:8.20,y:107.80,z:-22.40,t:104593
x:-116.00,y:-16.60,z:20.60,t:104597
x:-48.20,y:-70.00,z:18.20,t:104601
x:105.60,y:89.80,z:-19.80,t:104605
x:34.00,y:129.00,z:-8.20,t:104609
x:-136.80,y:-116.60,z:5.80,t:104612
x:-14.80,y:-65.00,z:-8.40,t:104616
x:147.00,y:125.60,z:-10.60,t:104621
x:9.00,y:107.60,z:41.20,t:104625
x:-125.80,y:-77.60,z:32.40,t:104628
x:-34.80,y:-63.80,z:-15.00,t:104632
x:117.40,y:60.60,z:-19.00,t:104636
x:36.80,y:72.40,z:43.40,t:104640
x:-134.20,y:-111.80,z:-11.60,t:104644
x:-32.00,y:-34.40,z:-22.00,t:104647
x:124.60,y:49.60,z:24.20,t:104651
x:28.00,y:13.80,z:39.00,t:104655
x:-116.00,y:-6.00,z:24.40,t:104659
x:-43.40,y:15.00,z:12.20,t:104663
x:106.00,y:9.60,z:-11.40,t:104667
x:25.20,y:12.00,z:-4.60,t:104671
x:-116.60,y:-50.60,z:-6.80,t:104675
x:-1.00,y:-12.60,z:-2.20,t:104678
x:71.80,y:38.60,z:-9.20,t:104682
x:12.60,y:64.80,z:-25.40,t:104686
x:-87.40,y:-115.60,z:21.40,t:104689
x:-6.40,y:-2.20,z:10.80,t:104693
x:62.20,y:149.00,z:-46.60,t:104697
x:-3.00,y:-1.60,z:11.20,t:104701
x:-64.80,y:-128.40,z:56.60,t:104705
x:-12.60,y:50.20,z:-3.20,t:104709
x:51.20,y:131.00,z:-22.20,t:104713
x:-5.80,y:43.60,z:7.20,t:104717
x:-69.20,y:-106.60,z:-4.80,t:104720
x:-21.80,y:-28.40,z:-16.40,t:104724
x:43.80,y:74.20,z:31.20,t:104728
