x:365.20,y:-357.40,z:-467.20,t:29007
x:1011.20,y:196.20,z:380.80,t:29011
x:188.40,y:394.40,z:380.40,t:29016
x:-933.20,y:-25.40,z:-244.00,t:29020
x:-461.80,y:100.40,z:-917.20,t:29023
x:286.00,y:261.20,z:-116.20,t:29027
x:214.00,y:325.20,z:574.00,t:29031
x:-109.00,y:-546.00,z:297.60,t:29035
x:443.00,y:151.00,z:-339.20,t:29039
x:884.60,y:1660.20,z:-1074.20,t:29043
x:-521.20,y:1040.40,z:-87.20,t:29047
x:-1520.40,y:-1243.00,z:860.60,t:29051
x:-141.20,y:-1378.00,z:492.60,t:29056
x:1109.60,y:1265.20,z:-611.40,t:29060
x:8.80,y:1499.80,z:-574.20,t:29064
x:-45.00,y:253.80,z:22.80,t:29068
x:-76.60,y:-312.60,z:339.00,t:29071
x:298.60,y:-910.80,z:186.80,t:29075
x:622.80,y:-657.40,z:715.80,t:29079
x:-411.80,y:393.80,z:112.40,t:29083
x:-1068.60,y:504.60,z:-927.20,t:29087
x:-464.60,y:128.00,z:-615.20,t:29091
x:728.60,y:-182.20,z:344.60,t:29095
x:792.40,y:80.80,z:637.40,t:29100
x:-184.20,y:-57.60,z:331.80,t:29104
x:-741.60,y:-320.00,z:-325.80,t:29108
x:-133.80,y:51.20,z:-625.60,t:29111
x:534.40,y:305.80,z:128.40,t:29115
